year,country,expenditure,tests,,,
1949,Russia,11392813310,1,,,
1951,Russia,58341788980,2,,,
1953,Russia,49671546090,5,,,
1954,Russia,37467225370,10,,,
1955,Russia,2059115694,6,,,
1956,Russia,11014741090,9,,,
1957,Russia,8069171952,16,,,
1958,Russia,10696273470,34,,,
1961,Russia,13943605920,58,,,
1962,Russia,7295929409,78,,,
1958,Russia,6966137130,2,,,
1960,Russia,11856730270,12,,,
1961,Russia,14066972850,13,,,
1963,Russia,17083749750,13,,,
1965,Russia,19661855310,3,,,
1967,Russia,23150228550,5,,,
1968,Russia,30212010750,1,,,
1969,Russia,33612061780,5,,,
1970,Russia,24165880000,4,,,
1971,Russia,26332370140,1,,,
1972,Russia,36767563920,1,,,
1973,Russia,57121505050,2,,,
1974,Russia,29992156270,1,,,
1975,Russia,33837772790,2,,,
1977,Russia,54828778020,4,,,
1979,Russia,60950227920,1,,,
1980,Russia,61898102640,1,,,
1981,Russia,64948081690,2,,,
1983,Russia,64010153130,4,,,
1984,Russia,66737397280,2,,,
1987,Russia,66088112070,4,,,
1989,Russia,68353686460.00000,2,,,
1995,Russia,61767921550,1,,,
1998,Russia,73586716120,5,,,
1999,Russia,79227936740,7,,,
2000,Russia,84209344300,5,,,
1961,Russia,92374498790,1,,,
1962,Russia,111964547600,1,,,
1964,Russia,119801448700,9,,,
1965,Russia,137892993700,14,,,
1966,Russia,150211822500,18,,,
1967,Russia,155475722500,17,,,
1968,Russia,136141020600,17,,,
1969,Russia,136028518000,19,,,
1970,Russia,145677184600,16,,,
1971,Russia,163868388000,23,,,
1972,Russia,173149715100,24,,,
1973,Russia,202351997400,17,,,
1974,Russia,228761898400,21,,,
1975,Russia,212760088400,19,,,
1976,Russia,209517147500,21,,,
1977,Russia,201440641700,24,,,
1978,Russia,204405616200,31,,,
1979,Russia,215173319900,31,,,
1980,Russia,248575646100,24,,,
1981,Russia,257525885900,21,,,
1982,Russia,277398332600,19,,,
1983,Russia,282886507900,25,,,
1984,Russia,291433987200,27,,,
1985,Russia,299734810200,10,,,
1987,Russia,311010801400,23,,,
1988,Russia,334244898000,16,,,
1989,Russia,341620919000,7,,,
1990,Russia,347228514500,1,,,
,,355001861700,,,,
,,362078113500,,,,
,,370885308700,,,,
,,372994435300,,,,
,,376633611500,,,,
,,382234876800,,,,
,,389741481900,,,,
,,393426799400,,,,
,,403280205500,,,,
,,414304057400,,,,
,,420019861200,,,,
,,151901562400,,,,
,,157954367200,,,,
,,158676710100,,,,
,,54794470740,,,,
,,33005353630,,,,
,,107307084600,,,,
,,89152681890,,,,
,,78996624510,,,,
,,67183181640,,,,
,,59301194900,,,,
,,58091070310,,,,
,,52000000000,,,,
,,62269644900,,,,
,,48918297270,,,,
,,61554392440,,,,
,,54764856370,,,,
,,16707376020,,,,
,,21227829660,,,,
,,27101770600,,,,